ISO3,Ranking,NAME,GDP
USA,1,United States,18036648
CHN,2,China,11007721
JPN,3,Japan,4383076
DEU,4,Germany,3363447
GBR,5,United Kingdom,2858003
FRA,6,France,2418836
IND,7,India,2095398
ITA,8,Italy,1821497
BRA,9,Brazil,1774725
CAN,10,Canada,1550537
KOR,11,"Korea, Rep.",1377873
AUS,12,Australia,1339141
RUS,13,Russian Federation,1331208
ESP,14,Spain,1199057
MEX,15,Mexico,1143793
IDN,16,Indonesia,861934
NLD,17,Netherlands,750284
TUR,18,Turkey,71788
CHE,19,Switzerland,67079
SAU,20,Saudi Arabia,646002
ARG,21,Argentina,583169
SWE,22,Sweden,495624
NGA,23,Nigeria,481066
POL,24,Poland,477066
BEL,25,Belgium,455086
IRN,26,"Iran, Islamic Rep.",425326
THA,27,Thailand,395168
NOR,28,Norway,386578
AUT,29,Austria,37695
ARE,30,United Arab Emirates,370296
EGY,31,"Egypt, Arab Rep.",330779
ZAF,32,South Africa,314572
HKG,33,"Hong Kong SAR, China",309235
ISR,34,Israel,299416
MYS,35,Malaysia,296283
DNK,36,Denmark,295091
SGP,37,Singapore,292739
PHL,38,Philippines,292451
COL,39,Colombia,29208
IRL,40,Ireland,283703
PAK,41,Pakistan,27105
CHL,42,Chile,240796
FIN,43,Finland,23195
PRT,44,Portugal,198923
BGD,45,Bangladesh,195079
GRC,46,Greece,194851
VNM,47,Vietnam,193599
PER,48,Peru,189111
CZE,49,Czech Republic,185156
KAZ,50,Kazakhstan,184388
IRQ,51,Iraq,180069
ROM,52,Romania,177954
NZL,53,New Zealand,173754
DZA,54,Algeria,166839
QAT,55,Qatar,164641
HUN,56,Hungary,121715
KWT,57,Kuwait,114041
PRI,58,Puerto Rico,103135
AGO,59,Angola,102627
MAR,60,Morocco,100593
ECU,61,Ecuador,100177
SDN,62,Sudan,97156
UKR,63,Ukraine,90615
SVK,64,Slovak Republic,87264
LKA,65,Sri Lanka,82316
CUB,66,Cuba,7715
OMN,67,Oman,69831
DOM,68,Dominican Republic,68103
UZB,69,Uzbekistan,66733
GTM,70,Guatemala,63794
KEN,71,Kenya,63398
MMR,72,Myanmar,62601
ETH,73,Ethiopia,6154
LUX,74,Luxembourg,57794
BLR,75,Belarus,54609
CRI,76,Costa Rica,54137
URY,77,Uruguay,53443
AZE,78,Azerbaijan,53047
PAN,79,Panama,52132
BGR,80,Bulgaria,50199
HRV,81,Croatia,48732
LBN,82,Lebanon,47085
MAC,83,"Macao SAR, China",46178
TZA,84,Tanzania,45628
TUN,85,Tunisia,43015
SVN,86,Slovenia,42775
LTU,87,Lithuania,41171
YEM,88,"Yemen, Rep.",37734
GHA,89,Ghana,37543
JOR,90,Jordan,37517
SRB,91,Serbia,3716
TKM,92,Turkmenistan,35855
ZAR,93,"Congo, Dem. Rep.",35238
BOL,94,Bolivia,32998
CIV,95,Côte d'Ivoire,31759
BHR,96,Bahrain,31126
CMR,97,Cameroon,28416
UGA,98,Uganda,27529
PRY,99,Paraguay,27094
LVA,100,Latvia,27003
SLV,101,El Salvador,2585
TTO,102,Trinidad and Tobago,23559
EST,103,Estonia,22459
NPL,104,Nepal,21195
ZMB,105,Zambia,21154
HND,106,Honduras,20421
CYP,107,Cyprus,1956
AFG,108,Afghanistan,19331
KHM,109,Cambodia,1805
PNG,110,Papua New Guinea,16929
ISL,111,Iceland,16598
BIH,112,Bosnia and Herzegovina,16192
MOZ,113,Mozambique,14807
ZWE,114,Zimbabwe,14419
BWA,115,Botswana,1439
JAM,116,Jamaica,14262
GAB,117,Gabon,14262
GEO,118,Georgia,13965
SEN,119,Senegal,1361
BRN,120,Brunei Darussalam,1293
MLI,121,Mali,12747
NIC,122,Nicaragua,12693
WBG,123,West Bank and Gaza,12677
LAO,124,Lao PDR,12369
GNQ,125,Equatorial Guinea,12202
MNG,126,Mongolia,11741
MUS,127,Mauritius,11682
NAM,128,Namibia,11492
ALB,129,Albania,11398
TCD,130,Chad,10889
BFA,131,Burkina Faso,10678
ARM,132,Armenia,10529
MKD,133,"Macedonia, FYR",10086
MLT,134,Malta,9746
MDG,135,Madagascar,9739
SSD,136,South Sudan,9015
BHS,137,"Bahamas, The",8854
HTI,138,Haiti,8765
COG,139,"Congo, Rep.",8553
BEN,140,Benin,8291
RWA,141,Rwanda,8096
TJK,142,Tajikistan,7853
IMY,143,Isle of Man,7428
NER,144,Niger,7143
GIN,145,Guinea,6699
LIE,146,Liechtenstein,6664
KGZ,147,Kyrgyz Republic,6572
MDA,148,Moldova,6568
MWI,149,Malawi,6404
KSV,150,Kosovo,6401
SOM,151,Somalia,5925
BMU,152,Bermuda,5574
MRT,153,Mauritania,5442
SUR,154,Suriname,515
FJI,155,Fiji,4426
BRB,156,Barbados,4385
SLE,157,Sierra Leone,4215
SWZ,158,Swaziland,4118
TGO,159,Togo,4088
MNE,160,Montenegro,3987
MDV,161,Maldives,3435
ADO,162,Andorra,3249
GUY,163,Guyana,3166
BDI,164,Burundi,3097
FRO,165,Faroe Islands,2613
GRL,166,Greenland,2441
LSO,167,Lesotho,2278
BTN,168,Bhutan,2058
LBR,169,Liberia,2053
BLZ,170,Belize,1753
DJI,171,Djibouti,1727
CPV,172,Cabo Verde,1603
CAF,173,Central African Republic,1584
TMP,174,Timor-Leste,1442
SYC,175,Seychelles,1438
LCA,176,St. Lucia,1431
ATG,177,Antigua and Barbuda,1259
SLB,178,Solomon Islands,1129
GNB,179,Guinea-Bissau,1057
GRD,180,Grenada,984
GMB,181,"Gambia, The",939
KNA,182,St. Kitts and Nevis,876
WSM,183,Samoa,761
VUT,184,Vanuatu,742
VCT,185,St. Vincent and the Grenadines,738
COM,186,Comoros,566
DMA,187,Dominica,517
TON,188,Tonga,435
STP,189,São Tomé and Principe,318
FSM,190,"Micronesia, Fed. Sts.",315
PLW,191,Palau,287
MHL,192,Marshall Islands,179
KIR,193,Kiribati,160
NRU,194,Nauru,100
TUV,195,Tuvalu,33
ASM,0,American Samoa,0
ABW,0,Aruba,0
VGB,0,British Virgin Islands,0
CYM,0,Cayman Islands,0
CHI,0,Channel Islands,0
CUW,0,Curaçao,0
ERI,0,Eritrea,0
PYF,0,French Polynesia,0
GIB,0,Gibraltar,0
GUM,0,Guam,0
PRK,0,"Korea, Dem. People's Rep.",0
LBY,0,Libya,0
MCO,0,Monaco,0
NCL,0,New Caledonia,0
MNP,0,Northern Mariana Islands,0
SMR,0,San Marino,0
SXM,0,Sint Maarten (Dutch part),0
MAF,0,St. Martin (French part),0
SYR,0,Syrian Arab Republic,0
TCA,0,Turks and Caicos Islands,0
VEN,0,"Venezuela, RB",0
VIR,0,Virgin Islands (U.S.),0
